team,played,won,drawn,pf,pa,pts,percentage
Fremantle,23,19,0,2286,1666,76,137.21488595438174
Sydney,23,18,0,2543,1869,72,136.06206527554843
Brisbane Lions,23,16,0,2499,2054,64,121.66504381694256
Hawthorn,23,15,2,2260,1881,64,120.14885699096226
Geelong,23,15,0,2355,1925,60,122.33766233766234
Adelaide,23,15,0,2169,1849,60,117.30665224445646
Melbourne,23,15,0,2301,2099,60,109.62363030014292
Western Bulldogs,23,13,1,1901,1992,54,95.43172690763052
Collingwood,23,12,2,2021,1974,52,102.38095238095238
Carlton,23,12,1,2007,1978,50,101.46612740141558
St Kilda,23,10,0,2030,1974,40,102.83687943262412
Greater Western Sydney,23,10,0,2073,2095,40,98.94988066825776
Gold Coast,23,9,0,2011,2128,36,94.50187969924812
North Melbourne,23,9,0,1932,2175,36,88.82758620689656
Port Adelaide,23,7,0,1803,2048,28,88.037109375
West Coast,23,4,0,1615,2333,16,69.22417488212602
Richmond,23,3,0,1483,2373,12,62.49473240623683
Essendon,23,2,0,1601,2477,8,64.63463867581753
