team,rating,rank
Sydney,20.499869370826858,1
Fremantle,20.233151132134996,2
Geelong,18.67472581924055,3
Brisbane Lions,16.60600820411738,4
Hawthorn,13.507597246374822,5
Adelaide,13.142453100299182,6
Collingwood,4.916907157289645,7
Melbourne,4.765843465656392,8
Western Bulldogs,4.3700666079936035,9
Carlton,1.1866999114186523,10
Gold Coast,0.6467136279095199,11
Greater Western Sydney,0.6141078044393709,12
St Kilda,-0.28276549872349194,13
Port Adelaide,-10.89369759872917,14
North Melbourne,-13.76382787204765,15
West Coast,-29.93093539916366,16
Essendon,-30.787063629954137,17
Richmond,-33.50585344908286,18
