ladder_pos,team,p_finals,p_week2,p_bye,p_prelim,p_grand_final,p_premier,rating,season,won
1,Sydney,1.0,1.0,0.61315,0.90685,0.55545,0.3129,28.76626530851597,2016,0
2,Geelong,1.0,1.0,0.61135,0.84875,0.44545,0.21635,22.94613424436115,2016,0
3,Hawthorn,1.0,1.0,0.38865,0.74325,0.3262,0.1476,19.23961134949948,2016,0
4,Greater Western Sydney,1.0,1.0,0.38685,0.83095,0.4469,0.2213,24.980615127573984,2016,0
5,Adelaide,1.0,0.8027,0.0,0.3535,0.1312,0.07205,26.195803096876137,2016,0
6,West Coast,1.0,0.7842,0.0,0.2105,0.0673,0.02,21.194771287902856,2016,0
7,Western Bulldogs,1.0,0.2158,0.0,0.0517,0.0167,0.0053,9.952630229260658,2016,1
8,North Melbourne,1.0,0.1973,0.0,0.0545,0.0108,0.0045,6.569361428086353,2016,0
1,Adelaide,1.0,1.0,0.7004,0.9113,0.61445,0.38575,24.469570703048777,2017,0
2,Geelong,1.0,1.0,0.65385,0.85675,0.4232,0.2039,14.77897039046452,2017,0
3,Richmond,1.0,1.0,0.34615,0.6917,0.24875,0.0902,5.967370671927943,2017,1
4,Greater Western Sydney,1.0,1.0,0.2996,0.66165,0.3492,0.1522,13.697803793209166,2017,0
5,Port Adelaide,1.0,0.7197,0.0,0.3498,0.13825,0.07155,15.073748021465814,2017,0
6,Sydney,1.0,0.7829,0.0,0.37715,0.1891,0.0825,18.225732645273865,2017,0
7,Essendon,1.0,0.2171,0.0,0.0499,0.01455,0.0038,-3.429632458812423,2017,0
8,West Coast,1.0,0.2803,0.0,0.10175,0.0225,0.0101,7.281630087850997,2017,0
1,Richmond,1.0,1.0,0.6039,0.88125,0.4855,0.3126,20.109783150485036,2018,0
2,West Coast,1.0,1.0,0.635,0.8407,0.46535,0.17915,11.333107168845808,2018,1
3,Collingwood,1.0,1.0,0.365,0.61405,0.2904,0.14015,9.815232325709353,2018,0
4,Hawthorn,1.0,1.0,0.3961,0.73455,0.3114,0.13645,8.48354807327682,2018,0
5,Melbourne,1.0,0.4645,0.0,0.24855,0.13605,0.07835,16.45078882642843,2018,0
