ladder_pos,team,p_finals,p_week2,p_bye,p_prelim,p_grand_final,p_premier,rating,pts,percentage
4,Hawthorn,1.0,1.0,1.0,1.0,0.53338,0.29136,13.507597246374822,64,120.14885699096226
2,Sydney,1.0,1.0,0.64978,0.8834,0.539,0.27104,20.499869370826858,72,136.06206527554843
3,Brisbane Lions,1.0,1.0,0.35022,0.76154,0.39272,0.18454,16.60600820411738,64,121.66504381694256
1,Fremantle,1.0,1.0,0.0,0.72976,0.27678,0.12014,20.233151132134996,76,137.21488595438174
5,Geelong,1.0,0.72592,0.0,0.2936,0.15486,0.09412,18.67472581924055,60,122.33766233766234
6,Adelaide,1.0,0.7024,0.0,0.20826,0.06718,0.02466,13.142453100299182,60,117.30665224445646
10,Carlton,1.0,0.27408,0.0,0.06146,0.02042,0.00852,1.1866999114186523,50,101.46612740141558
8,Western Bulldogs,1.0,0.2976,0.0,0.06198,0.01566,0.00562,4.3700666079936035,54,95.43172690763052
7,Melbourne,0.0,0.0,0.0,0.0,0.0,0.0,4.765843465656392,60,109.62363030014292
9,Collingwood,0.0,0.0,0.0,0.0,0.0,0.0,4.916907157289645,52,102.38095238095238
