season,team,goals,shots,score,conceded,opp_shots,games,accuracy
2015,Adelaide,308,567,2107,1821,491,21,0.5432098765432098
2015,Brisbane Lions,224,437,1557,2306,601,22,0.5125858123569794
2015,Carlton,219,430,1525,2354,609,22,0.5093023255813953
2015,Collingwood,287,537,1972,1856,506,22,0.5344506517690876
2015,Essendon,226,450,1580,2134,574,22,0.5022222222222222
2015,Fremantle,273,492,1857,1564,439,22,0.5548780487804879
2015,Geelong,272,493,1853,1833,503,21,0.5517241379310345
2015,Gold Coast,235,458,1633,2240,610,22,0.5131004366812227
2015,Greater Western Sydney,268,532,1872,1891,531,22,0.5037593984962406
2015,Hawthorn,365,627,2452,1548,443,22,0.5821371610845295
2015,Melbourne,225,448,1573,2044,539,22,0.5022321428571429
2015,North Melbourne,303,547,2062,1937,537,22,0.5539305301645339
2015,Port Adelaide,296,522,2002,1874,494,22,0.5670498084291188
2015,Richmond,280,530,1930,1568,468,22,0.5283018867924528
2015,St Kilda,241,490,1695,2162,567,22,0.49183673469387756
2015,Sydney,292,546,2006,1578,463,22,0.5347985347985348
2015,West Coast,340,630,2330,1572,427,22,0.5396825396825397
2015,Western Bulldogs,310,551,2101,1825,485,22,0.5626134301270418
2016,Adelaide,363,668,2483,1795,495,22,0.5434131736526946
2016,Brisbane Lions,254,500,1770,2872,727,22,0.508
2016,Carlton,224,448,1568,1978,543,22,0.5
2016,Collingwood,276,530,1910,1998,528,22,0.5207547169811321
2016,Essendon,200,437,1437,2356,606,22,0.4576659038901602
2016,Fremantle,227,439,1574,2119,589,22,0.5170842824601367
2016,Geelong,325,610,2235,1554,419,22,0.5327868852459017
2016,Gold Coast,258,488,1778,2273,633,22,0.5286885245901639
2016,Greater Western Sydney,351,625,2380,1663,463,22,0.5616
2016,Hawthorn,312,574,2134,1800,485,22,0.5435540069686411
2016,Melbourne,286,514,1944,1991,551,22,0.556420233463035
2016,North Melbourne,284,536,1956,1859,539,22,0.5298507462686567
2016,Port Adelaide,300,555,2055,1939,564,22,0.5405405405405406
2016,Richmond,247,478,1713,2155,585,22,0.5167364016736402
2016,St Kilda,286,523,1953,2041,541,22,0.5468451242829828
2016,Sydney,326,591,2221,1469,429,22,0.5516074450084603
2016,West Coast,323,566,2181,1678,478,22,0.5706713780918727
2016,Western Bulldogs,268,517,1857,1609,424,22,0.5183752417794971
2017,Adelaide,354,645,2415,1776,476,22,0.5488372093023256
2017,Brisbane Lions,276,497,1877,2526,691,22,0.5553319919517102
2017,Carlton,232,434,1594,2038,543,22,0.5345622119815668
2017,Collingwood,278,554,1944,1963,528,22,0.5018050541516246
2017,Essendon,311,580,2135,2004,564,22,0.5362068965517242
2017,Fremantle,231,452,1607,2160,575,22,0.5110619469026548
2017,Geelong,313,569,2134,1818,518,22,0.5500878734622144
2017,Gold Coast,257,471,1756,2311,626,22,0.5456475583864119
2017,Greater Western Sydney,302,571,2081,1812,502,22,0.5288966725043783
2017,Hawthorn,273,499,1864,2055,550,22,0.5470941883767535
2017,Melbourne,302,525,2035,1934,534,22,0.5752380952380952
2017,North Melbourne,290,533,1983,2264,609,22,0.5440900562851783
2017,Port Adelaide,313,603,2168,1671,476,22,0.5190713101160862
2017,Richmond,287,557,1992,1684,474,22,0.5152603231597845
2017,St Kilda,271,570,1925,1986,531,22,0.47543859649122805
2017,Sydney,305,568,2093,1651,466,22,0.5369718309859155
2017,West Coast,288,524,1964,1858,528,22,0.549618320610687
2017,Western Bulldogs,260,557,1857,1913,518,22,0.466786355475763
2018,Adelaide,279,546,1941,1865,525,22,0.510989010989011
2018,Brisbane Lions,266,495,1825,2049,564,22,0.5373737373737374
2018,Carlton,192,393,1353,2282,607,22,0.48854961832061067
2018,Collingwood,300,546,2046,1699,444,22,0.5494505494505495
2018,Essendon,280,532,1932,1838,518,22,0.5263157894736842
2018,Fremantle,224,436,1556,2041,571,22,0.5137614678899083
2018,Geelong,298,555,2045,1554,474,22,0.5369369369369369
2018,Gold Coast,181,403,1308,2182,627,22,0.4491315136476427
2018,Greater Western Sydney,268,558,1898,1661,466,22,0.48028673835125446
2018,Hawthorn,290,522,1972,1642,462,22,0.5555555555555556
2018,Melbourne,336,619,2299,1749,469,22,0.5428109854604201
2018,North Melbourne,285,525,1950,1790,495,22,0.5428571428571428
2018,Port Adelaide,259,485,1780,1654,449,22,0.534020618556701
2018,Richmond,311,588,2143,1574,414,22,0.5289115646258503
2018,St Kilda,225,481,1606,2125,575,22,0.4677754677754678
2018,Sydney,268,482,1822,1664,509,22,0.5560165975103735
2018,West Coast,295,537,2012,1657,452,22,0.5493482309124768
2018,Western Bulldogs,224,455,1575,2037,537,22,0.49230769230769234
2019,Adelaide,256,496,1776,1761,501,22,0.5161290322580645
2019,Brisbane Lions,288,564,2004,1694,479,22,0.5106382978723404
2019,Carlton,231,454,1609,1905,525,22,0.5088105726872246
2019,Collingwood,274,515,1885,1601,451,22,0.5320388349514563
2019,Essendon,247,467,1702,1784,519,22,0.5289079229122056
2019,Fremantle,225,454,1579,1718,493,22,0.4955947136563877
2019,Geelong,291,529,1984,1462,447,22,0.5500945179584121
2019,Gold Coast,194,381,1351,2232,582,22,0.5091863517060368
2019,Greater Western Sydney,283,511,1926,1669,454,22,0.5538160469667319
2019,Hawthorn,250,492,1742,1602,462,22,0.508130081300813
2019,Melbourne,223,454,1569,1995,510,22,0.4911894273127753
2019,North Melbourne,265,499,1824,1834,509,22,0.531062124248497
2019,Port Adelaide,257,521,1806,1714,469,22,0.4932821497120921
2019,Richmond,275,517,1892,1664,444,22,0.5319148936170213
2019,St Kilda,233,480,1645,1961,491,22,0.48541666666666666
2019,Sydney,248,466,1706,1746,516,22,0.5321888412017167
2019,West Coast,282,492,1902,1691,496,22,0.573170731707317
2019,Western Bulldogs,279,546,1941,1810,490,22,0.510989010989011
2020,Adelaide,116,246,826,1283,333,17,0.4715447154471545
2020,Brisbane Lions,165,359,1184,948,253,17,0.4596100278551532
2020,Carlton,146,287,1017,1078,288,17,0.5087108013937283
2020,Collingwood,139,270,965,881,226,17,0.5148148148148148
2020,Essendon,136,258,938,1185,325,17,0.5271317829457365
2020,Fremantle,127,231,866,924,269,17,0.5497835497835498
2020,Geelong,182,323,1233,901,256,17,0.5634674922600619
2020,Gold Coast,142,286,996,1099,299,17,0.4965034965034965
2020,Greater Western Sydney,145,282,1007,1053,298,17,0.5141843971631206
2020,Hawthorn,147,269,1004,1194,319,17,0.5464684014869888
2020,Melbourne,155,288,1063,986,276,17,0.5381944444444444
2020,North Melbourne,124,238,858,1205,355,17,0.5210084033613446
2020,Port Adelaide,168,345,1185,869,234,17,0.48695652173913045
2020,Richmond,164,315,1135,874,254,17,0.5206349206349207
2020,St Kilda,171,304,1159,997,287,17,0.5625
2020,Sydney,128,250,890,1077,312,17,0.512
2020,West Coast,162,285,1095,936,271,17,0.5684210526315789
2020,Western Bulldogs,159,308,1103,1034,289,17,0.5162337662337663
2021,Adelaide,230,466,1616,1971,536,22,0.49356223175965663
2021,Brisbane Lions,313,566,2131,1599,444,22,0.5530035335689046
2021,Carlton,250,496,1746,1972,532,22,0.5040322580645161
2021,Collingwood,225,432,1557,1818,473,22,0.5208333333333334
2021,Essendon,287,518,1953,1790,485,22,0.5540540540540541
2021,Fremantle,219,483,1578,1825,500,22,0.453416149068323
2021,Geelong,269,500,1845,1456,431,22,0.538
2021,Gold Coast,201,425,1430,1863,523,22,0.47294117647058825
2021,Greater Western Sydney,258,478,1768,1773,498,22,0.5397489539748954
2021,Hawthorn,239,434,1629,1912,502,22,0.5506912442396313
2021,Melbourne,270,538,1888,1443,388,22,0.5018587360594795
2021,North Melbourne,210,408,1458,2075,580,22,0.5147058823529411
